Backfilling LGA boundaries for 542 locales.
[112/542] Clarence... ok (MultiPolygon, 1050931 chars)
[113/542] Clarence Valley... ok (MultiPolygon, 1008325 chars)
[114/542] Cleve... ok (Polygon, 18401 chars)
[115/542] Cloncurry... ok (Polygon, 73093 chars)
[116/542] Cobar... ok (Polygon, 317849 chars)
[117/542] Cockburn... ok (MultiPolygon, 57101 chars)
[118/542] Cocos Islands... ok (MultiPolygon, 675226 chars)
[119/542] Coffs Harbour... ok (MultiPolygon, 394267 chars)
[120/542] Colac Otway... ok (MultiPolygon, 320689 chars)
[121/542] Collie... ok (Polygon, 102834 chars)
[122/542] Coober Pedy... ok (Polygon, 771 chars)
[123/542] Cook... ok (MultiPolygon, 830959 chars)
[124/542] Coolamon... ok (Polygon, 30101 chars)
[125/542] Coolgardie... ok (Polygon, 7410 chars)
[126/542] Coomalie ... ok (Polygon, 58737 chars)
[127/542] Coonamble... ok (Polygon, 212506 chars)
[128/542] Coorong... ok (MultiPolygon, 156365 chars)
[129/542] Coorow... ok (MultiPolygon, 69791 chars)
[130/542] Cootamundra-Gundagai Regional... ok (Polygon, 232874 chars)
[131/542] Copper Coast... ok (MultiPolygon, 51737 chars)
[132/542] Corangamite... ok (MultiPolygon, 461231 chars)
[133/542] Corrigin... ok (Polygon, 19166 chars)
[134/542] Cottesloe ... ok (Polygon, 9814 chars)
[135/542] Cowra... ok (Polygon, 247124 chars)
[136/542] Cranbrook... ok (Polygon, 30091 chars)
[137/542] Croydon... ok (Polygon, 50245 chars)
[138/542] Cuballing... ok (Polygon, 48055 chars)
[139/542] Cue... ok (Polygon, 6582 chars)
[140/542] Cumberland... ok (Polygon, 122690 chars)
[141/542] Cunderdin... ok (Polygon, 22684 chars)
[142/542] Dalwallinu... ok (Polygon, 80944 chars)
[143/542] Dandaragan... ok (MultiPolygon, 253182 chars)
[144/542] Dardanup... ok (Polygon, 156116 chars)
[145/542] Darebin... ok (Polygon, 74125 chars)
[146/542] Darwin... ok (Polygon, 83356 chars)
[147/542] Darwin Waterfront Precinct... ok (Polygon, 2067 chars)
[148/542] Denmark... ok (MultiPolygon, 328582 chars)
[149/542] Derby-West Kimberley... ok (MultiPolygon, 815679 chars)
