Backfilling LGA boundaries for 542 locales.
[486/542] Walgett... ok (Polygon, 842262 chars)
[487/542] Walkerville... ok (Polygon, 16393 chars)
[488/542] Wandering... ok (Polygon, 33859 chars)
[489/542] Wangaratta... ok (Polygon, 155389 chars)
[490/542] Wanneroo... ok (Polygon, 63116 chars)
[491/542] Waratah-Wynyard... ok (Polygon, 495611 chars)
[492/542] Waroona... ok (Polygon, 87786 chars)
[493/542] Warren... ok (Polygon, 395063 chars)
[494/542] Warrnambool... ok (Polygon, 56070 chars)
[495/542] Warrumbungle Shire... ok (Polygon, 630061 chars)
[496/542] Wattle Range... ok (MultiPolygon, 87390 chars)
[497/542] Waverley... ok (Polygon, 64510 chars)
[498/542] Weddin... ok (Polygon, 197158 chars)
[499/542] Weipa... ok (MultiPolygon, 6275 chars)
[500/542] Wellington... ok (MultiPolygon, 2461493 chars)
[501/542] Wentworth... ok (Polygon, 470986 chars)
[502/542] West Arnhem... ok (MultiPolygon, 355932 chars)
[503/542] West Arthur... ok (Polygon, 83078 chars)
[504/542] West Coast... ok (MultiPolygon, 3148273 chars)
[505/542] West Daly... ok (MultiPolygon, 107685 chars)
[506/542] Western Downs... ok (Polygon, 91096 chars)
[507/542] Westonia... ok (Polygon, 9363 chars)
[508/542] West Tamar... ok (MultiPolygon, 928795 chars)
[509/542] West Torrens... ok (Polygon, 33927 chars)
[510/542] West Wimmera... ok (Polygon, 146854 chars)
[511/542] Whitehorse... ok (Polygon, 128543 chars)
[512/542] Whitsunday... ok (MultiPolygon, 763457 chars)
[513/542] Whittlesea... ok (Polygon, 205339 chars)
[514/542] Whyalla... ok (Polygon, 130992 chars)
[515/542] Wickepin... ok (Polygon, 12159 chars)
[516/542] Williams... ok (Polygon, 12197 chars)
[517/542] Willoughby... ok (Polygon, 134828 chars)
[518/542] Wiluna... ok (Polygon, 29597 chars)
[519/542] Wingecarribee... ok (Polygon, 224088 chars)
[520/542] Winton... ok (Polygon, 16633 chars)
[521/542] Wodonga... ok (Polygon, 83711 chars)
[522/542] Wollondilly... ok (Polygon, 334031 chars)
[523/542] Wollongong... ok (MultiPolygon, 467949 chars)
[524/542] Wongan-Ballidu... ok (Polygon, 17256 chars)
[525/542] Woodanilling... ok (Polygon, 48605 chars)
[526/542] Woollahra... ok (MultiPolygon, 115024 chars)
[527/542] Woorabinda... ok (MultiPolygon, 13206 chars)
[528/542] Wudinna... ok (Polygon, 12486 chars)
[529/542] Wujal Wujal... ok (Polygon, 13802 chars)
[530/542] Wyalkatchem... ok (Polygon, 61060 chars)
[531/542] Wyndham... ok (Polygon, 179666 chars)
[532/542] Wyndham-East Kimberley... ok (MultiPolygon, 2711430 chars)
[533/542] Yalgoo... ok (Polygon, 20385 chars)
[534/542] Yankalilla... ok (Polygon, 88708 chars)
[535/542] Yarra... ok (Polygon, 66033 chars)
[536/542] Yarrabah... ok (MultiPolygon, 63416 chars)
[537/542] Yarra Ranges... ok (Polygon, 295249 chars)
[538/542] Yarriambiack... ok (Polygon, 92071 chars)
[539/542] Yass Valley... ok (Polygon, 120164 chars)
[540/542] Yilgarn... ok (Polygon, 13403 chars)
[541/542] York... ok (Polygon, 21385 chars)
[542/542] Yorke Peninsula... ok (MultiPolygon, 345988 chars)

Done. 541 backfilled, 1 failed.
